name,country,city,description,courseTypes,costRange,weeklyFeeLow,weeklyFeeHigh,features,website,address,isFeatured,foundedYear,totalStudents,averageClassSize,japaneseRatio,nationalityCount,minimumAge,classroomCount,email,phone,nearestStation,latitude,longitude,languages,accreditations,facilities,accommodationTypes,airportPickup,minimumWeeks
Kaplan International Sydney,オーストラリア,シドニー,オペラハウスやハーバーブリッジが象徴的なオーストラリア最大の都市に位置する。80年以上の教育実績を持つ世界的語学学校チェーンKaplanの校舎。独自のK+学習システムで授業内外の効率的な語学学習を実現。一般英語から試験対策・ビジネス英語まで幅広いコースを開講。オンライン学習サポート、宿泊手配対応、資格取得対応。授業料は週300〜480USD（スタンダード帯）。ワーキングホリデー人気国で多文化社会と雄大な自然が魅力。,"general,exam-prep,business,intensive",standard,300,480,"activities,accommodation,certificate,online-support",https://www.kaplaninternational.com/australia/sydney,"Level 4, 35 Grafton Street, Bondi Junction, Sydney NSW 2022",TRUE,1938,302,13,22,54,18,15,info@kaplan-international-sydney.example.com,+61-8-9092-6734,Town Hall,-33.8757,151.2005,english,"neas,cambridge-english,eaquals","wifi,lounge,study-room,library","homestay,student-residence",TRUE,2
Kaplan International Melbourne,オーストラリア,メルボルン,カフェ文化やストリートアートで知られるオーストラリアの文化首都に位置する。80年以上の教育実績を持つ世界的語学学校チェーンKaplanの校舎。独自のK+学習システムで授業内外の効率的な語学学習を実現。一般英語から試験対策・ビジネス英語まで幅広いコースを開講。宿泊手配対応、資格取得対応、アクティビティ充実。授業料は週300〜470USD（スタンダード帯）。ワーキングホリデー人気国で多文化社会と雄大な自然が魅力。,"general,exam-prep,business",standard,300,470,"activities,accommodation,certificate",https://www.kaplaninternational.com/australia/melbourne,"370 Docklands Drive, Docklands, Melbourne VIC 3008",FALSE,1938,452,13,18,66,18,23,info@kaplan-international-melbourne.example.com,+61-3-8047-3747,Parliament,-37.8145,144.9688,english,cambridge-english,"wifi,lounge,library","homestay,student-residence,shared-apartment",TRUE,2
Kaplan International Brisbane,オーストラリア,ブリスベン,年間300日の晴天に恵まれたクイーンズランド州の温暖な州都に位置する。80年以上の教育実績を持つ世界的語学学校チェーンKaplanの校舎。独自のK+学習システムで授業内外の効率的な語学学習を実現。一般英語に加えIELTSやTOEFLなどの試験対策コースを提供。宿泊手配対応、資格取得対応、アクティビティ充実。授業料は週290〜450USD（スタンダード帯）。ワーキングホリデー人気国で多文化社会と雄大な自然が魅力。,"general,exam-prep,intensive",standard,290,450,"activities,accommodation,certificate",https://www.kaplaninternational.com/australia/brisbane,"Level 1, 369 Ann Street, Brisbane QLD 4000",FALSE,1938,464,11,14,41,18,28,info@kaplan-international-brisbane.example.com,+61-7-7478-1775,Central Station,-27.4763,153.0229,english,cambridge-english,"wifi,lounge,library,kitchen","homestay,student-residence,shared-apartment",TRUE,2
Kaplan International Perth,オーストラリア,パース,インド洋に面した美しいビーチと穏やかな気候が魅力の西オーストラリアの州都に位置する。80年以上の教育実績を持つ世界的語学学校チェーンKaplanの校舎。独自のK+学習システムで授業内外の効率的な語学学習を実現。一般英語に加えIELTSやTOEFLなどの試験対策コースを提供。少人数制クラス、宿泊手配対応、アクティビティ充実。授業料は週290〜440USD（スタンダード帯）。ワーキングホリデー人気国で多文化社会と雄大な自然が魅力。,"general,exam-prep,intensive",standard,290,440,"small-class,activities,accommodation",https://www.kaplaninternational.com/australia/perth,"1325 Hay Street, West Perth WA 6005",FALSE,1938,469,9,18,79,18,34,info@kaplan-international-perth.example.com,+61-8-6337-1878,,-31.9439,115.8576,english,"neas,cambridge-english","wifi,lounge,study-room,computer-lab,kitchen","homestay,student-residence",FALSE,1
Navitas English Sydney,オーストラリア,シドニー,オペラハウスやハーバーブリッジが象徴的なオーストラリア最大の都市に位置する。オーストラリア最大級の教育グループNavitasの校舎。50年以上の英語教育実績と大学進学パスウェイの充実度が特徴。一般英語から試験対策・ビジネス英語まで幅広いコースを開講。オンライン学習サポート、宿泊手配対応、資格取得対応。授業料は週310〜470USD（スタンダード帯）。ワーキングホリデー人気国で多文化社会と雄大な自然が魅力。,"general,exam-prep,business,intensive",standard,310,470,"online-support,certificate,activities,accommodation",https://www.navitasenglish.edu.au/,"255 Elizabeth Street, Sydney NSW 2000",TRUE,1981,280,12,12,15,18,15,info@navitas-english-sydney.example.com,+61-3-8278-7184,Wynyard,-33.8615,151.2118,english,neas,"wifi,lounge,study-room,library,computer-lab,kitchen","homestay,student-residence",TRUE,1
Navitas English Brisbane,オーストラリア,ブリスベン,年間300日の晴天に恵まれたクイーンズランド州の温暖な州都に位置する。オーストラリア最大級の教育グループNavitasの校舎。50年以上の英語教育実績と大学進学パスウェイの充実度が特徴。一般英語に加えIELTSやTOEFLなどの試験対策コースを提供。宿泊手配対応、資格取得対応、アクティビティ充実。授業料は週290〜450USD（スタンダード帯）。ワーキングホリデー人気国で多文化社会と雄大な自然が魅力。,"general,exam-prep,intensive",standard,290,450,"certificate,activities,accommodation",https://www.navitasenglish.edu.au/,"Ground Floor, 33 Queen Street, Brisbane QLD 4000",FALSE,1981,330,10,14,40,16,22,info@navitas-english-brisbane.example.com,+61-4-6392-1206,Central Station,-27.4776,153.0239,english,"neas,cambridge-english","wifi,lounge,study-room,library,kitchen","homestay,student-residence,shared-apartment",TRUE,1
ELSIS Sydney,オーストラリア,シドニー,オペラハウスやハーバーブリッジが象徴的なオーストラリア最大の都市に位置する。アメリカの大手語学学校ELSの校舎。全米60以上の大学と提携した進学パスウェイが最大の特徴で大学進学に強い。一般英語から試験対策・ビジネス英語まで幅広いコースを開講。少人数制クラス、オンライン学習サポート、アクティビティ充実。授業料は週240〜380USD（リーズナブル帯）。ワーキングホリデー人気国で多文化社会と雄大な自然が魅力。,"general,exam-prep,business,conversation",budget,240,380,"small-class,online-support,activities",https://www.elsis.edu.au/,"Level 2, 545 Kent Street, Sydney NSW 2000",FALSE,1991,239,8,12,15,18,19,info@elsis-sydney.example.com,+61-3-8604-3693,Wynyard,-33.8627,151.203,english,"neas,cambridge-english,ialc","wifi,lounge,study-room",,FALSE,2
ELSIS Melbourne,オーストラリア,メルボルン,カフェ文化やストリートアートで知られるオーストラリアの文化首都に位置する。アメリカの大手語学学校ELSの校舎。全米60以上の大学と提携した進学パスウェイが最大の特徴で大学進学に強い。一般英語に加えIELTSやTOEFLなどの試験対策コースを提供。少人数制クラス、オンライン学習サポート、アクティビティ充実。授業料は週230〜370USD（リーズナブル帯）。ワーキングホリデー人気国で多文化社会と雄大な自然が魅力。,"general,exam-prep,conversation",budget,230,370,"small-class,online-support,activities",https://www.elsis.edu.au/,"399 Lonsdale Street, Melbourne VIC 3000",FALSE,1991,200,9,22,18,18,14,info@elsis-melbourne.example.com,+61-4-6648-5413,Flinders Street,-37.8098,144.9585,english,neas,"wifi,lounge,study-room,library",,FALSE,2
Langports Brisbane,オーストラリア,ブリスベン,年間300日の晴天に恵まれたクイーンズランド州の温暖な州都に位置する。オーストラリアに複数校舎を持つLangportsの校舎。独自のUFO学習法でスキル別にレベル分けした効率的な授業を展開。一般英語に加えIELTSやTOEFLなどの試験対策コースを提供。少人数制クラス、宿泊手配対応、資格取得対応。授業料は週310〜460USD（スタンダード帯）。ワーキングホリデー人気国で多文化社会と雄大な自然が魅力。,"general,exam-prep,conversation,intensive",standard,310,460,"small-class,activities,accommodation,certificate",https://www.langports.com/,"33 Herschel Street, Brisbane QLD 4000",TRUE,2004,251,9,23,21,18,18,info@langports-brisbane.example.com,+61-2-7636-4696,South Bank,-27.4791,153.0273,english,neas,"wifi,lounge,study-room,library","homestay,student-residence",TRUE,2
Langports Gold Coast,オーストラリア,ゴールドコースト,世界有数のサーフスポットとテーマパークが集まる人気リゾートに位置する。オーストラリアに複数校舎を持つLangportsの校舎。独自のUFO学習法でスキル別にレベル分けした効率的な授業を展開。一般英語に加えIELTSやTOEFLなどの試験対策コースを提供。少人数制クラス、宿泊手配対応、アクティビティ充実。授業料は週300〜450USD（スタンダード帯）。ワーキングホリデー人気国で多文化社会と雄大な自然が魅力。,"general,exam-prep,conversation",standard,300,450,"small-class,activities,accommodation",https://www.langports.com/,"12-14 Marine Parade, Southport QLD 4215",FALSE,2004,446,9,16,25,18,33,info@langports-gold-coast.example.com,+61-2-6766-5389,,-28.0054,153.434,english,"neas,cambridge-english","wifi,lounge,study-room,library","homestay,student-residence,shared-apartment",TRUE,1
