slug,name,country,city,description,courseTypes,costRange,weeklyFeeLow,weeklyFeeHigh,features,website,address,isFeatured,foundedYear,totalStudents,averageClassSize,japaneseRatio,nationalityCount,minimumAge,classroomCount,email,phone,nearestStation,latitude,longitude,languages,accreditations,facilities,accommodationTypes,airportPickup,minimumWeeks
provence-language-school-aix-en-provence-aix-en-pr,Provence Language School Aix-en-Provence,フランス,Aix-en-Provence,"<p>フランス・Aix-en-Provenceに位置するフランス語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的なフランス語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週45,415〜58,280円（スタンダード帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation,exam-prep",standard,45415,58280,"activities,accommodation,small-class",https://www.provenceschool.com/,"Aix-en-Provence, France",FALSE,2002,345,7,8,17,18,24,info@provence-language-school-aix-en-provence.example.com,+33-34-5239-8719,,,,french,other,"wifi,lounge,study-room","homestay,student-residence",TRUE,1
national-taiwan-university-mandarin-training-cente,國立臺灣大學華語教學中心,台湾,台北,"<p>台湾・台北にある大学附属の中国語教育プログラム。長年の教育実績と充実した研究環境を活かし、留学生向けに体系的な中国語コースを提供している。大学キャンパス内の施設を自由に利用でき、現地の学生との日常的な交流機会も豊富に用意されている。授業料は週32,860〜60,140円（リーズナブル帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>",general,budget,32860,60140,"activities,small-class",https://mtc.ntu.edu.tw/,"Taipei, Taiwan",FALSE,1956,1588,9,7,39,18,88,info@national-taiwan-university-mandarin-training-cente.example.com,+886-44-2769-2676,,25.0245,121.5691,chinese,other,"wifi,lounge,study-room,library,computer-lab",,FALSE,1
florida-atlantic-university-intensive-english-inst,Florida Atlantic University Intensive English Institute,アメリカ,Boca Raton,"<p>アメリカ・Boca Ratonにある大学附属の英語教育プログラム。長年の教育実績と充実した研究環境を活かし、留学生向けに体系的な英語コースを提供している。大学キャンパス内の施設を自由に利用でき、現地の学生との日常的な交流機会も豊富に用意されている。授業料は週55,490〜83,700円（スタンダード帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation",standard,55490,83700,"activities,accommodation,small-class",https://www.fau.edu/,"Boca Raton, FL",FALSE,1991,991,9,16,20,18,55,info@florida-atlantic-university-intensive-english-inst.example.com,+1-68-2747-2370,,,,english,other,"wifi,lounge,study-room,library","homestay,student-residence",TRUE,1
university-of-pennsylvania-english-language-progra,University of Pennsylvania English Language Program,アメリカ,フィラデルフィア,"<p>アメリカ・フィラデルフィアにある大学附属の英語教育プログラム。長年の教育実績と充実した研究環境を活かし、留学生向けに体系的な英語コースを提供している。大学キャンパス内の施設を自由に利用でき、現地の学生との日常的な交流機会も豊富に用意されている。授業料は週55,180〜88,815円（プレミアム帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,exam-prep,intensive",premium,55180,88815,"activities,accommodation",https://www.elp.upenn.edu/,"Philadelphia, PA",FALSE,1973,1324,12,7,27,18,55,info@university-of-pennsylvania-english-language-progra.example.com,+1-75-3109-9232,,,,english,other,"wifi,lounge,study-room,library","homestay,student-residence",TRUE,1
language-international-ecuador-multiple-ecuadorian,Language International Ecuador,エクアドル,Multiple Ecuadorian cities,"<p>エクアドル・Multiple Ecuadorian citiesに位置するスペイン語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的なスペイン語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週29,760〜46,500円（リーズナブル帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>",general,budget,29760,46500,"activities,accommodation,small-class",https://www.languageinternational.com/spanish-schools-ecuador,,FALSE,,642,6,7,40,18,53,info@language-international-ecuador.example.com,+593-31-8712-8231,,,,spanish,other,"wifi,lounge,study-room,library,computer-lab","homestay,student-residence",TRUE,1
instituto-superior-de-espanol-multiple-ecuadorian-,Instituto Superior de Español,エクアドル,Multiple Ecuadorian cities,"<p>エクアドル・Multiple Ecuadorian citiesに位置するスペイン語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的なスペイン語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週31,000〜40,300円（リーズナブル帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation,exam-prep,intensive",budget,31000,40300,"activities,small-class",https://superiorspanishschool.com/,,FALSE,,398,7,10,18,16,28,info@instituto-superior-de-espa-ol.example.com,+593-97-4644-7250,,,,spanish,other,"wifi,lounge,study-room,library",,FALSE,1
ags-andean-global-studies-multiple-ecuadorian-citi,AGS Andean Global Studies,エクアドル,Multiple Ecuadorian cities,"<p>エクアドル・Multiple Ecuadorian citiesに位置するスペイン語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的なスペイン語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週29,140〜44,020円（リーズナブル帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation,exam-prep,intensive",budget,29140,44020,"activities,accommodation",https://www.andeanglobalstudies.org/,,FALSE,,773,14,9,39,16,27,info@ags-andean-global-studies.example.com,+593-74-1217-4811,,,,spanish,other,"wifi,lounge,study-room,computer-lab","homestay,student-residence",TRUE,1
language-international-peru-multiple-peruvian-citi,Language International Peru,ペルー,Multiple Peruvian cities,"<p>ペルー・Multiple Peruvian citiesに位置するスペイン語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的なスペイン語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週16,895〜39,060円（リーズナブル帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation",budget,16895,39060,"activities,small-class",https://www.languageinternational.com/spanish-schools-cusco-23561,,FALSE,,198,10,12,21,18,9,info@language-international-peru.example.com,+51-98-6051-8274,,,,spanish,other,"wifi,lounge,study-room",,FALSE,1
language-international-costa-rica-multiple-costa-r,Language International Costa Rica,コスタリカ,Multiple Costa Rican locations,"<p>コスタリカ・Multiple Costa Rican locationsに位置するスペイン語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的なスペイン語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週33,015〜67,270円（スタンダード帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,conversation,intensive",standard,33015,67270,"activities,small-class",https://www.languageinternational.com/spanish-courses-costa-rica,,FALSE,,767,9,2,26,16,42,info@language-international-costa-rica.example.com,+506-18-7322-5650,,,,spanish,other,"wifi,lounge,study-room",,FALSE,1
tico-lingo-spanish-school-multiple-costa-rican-loc,Tico Lingo Spanish School,コスタリカ,Multiple Costa Rican locations,"<p>コスタリカ・Multiple Costa Rican locationsに位置するスペイン語学校。経験豊富な講師陣が一人ひとりのレベルに合わせた実践的なスペイン語教育を提供している。現地の文化や生活に触れながら効率的に語学力を磨ける環境が整っており、留学生のサポート体制も充実。授業料は週38,440〜55,180円（スタンダード帯）で留学・ワーキングホリデーに最適。多国籍な学生が集まる国際的な学習環境で異文化交流も活発に行われている。</p>","general,intensive",standard,38440,55180,"activities,small-class",https://www.ticolingo.com/,,FALSE,,230,8,5,21,16,14,info@tico-lingo-spanish-school.example.com,+506-19-6902-1627,,,,spanish,other,"wifi,lounge,study-room,library",,FALSE,1
